"xcoord","ycoord","site","case","cover","density","canopy.closure","basal.area","live.stems","v.comp","dom.sp.per","age","height","f_hab","n_hab"
519674.531,5576244.515,"MTC",0,"TC","DE",65,56.553051,585,3,55,83,28.1,3,3
517174.531,5576744.515,"MTC",0,"TM","OP",55,15.17088,1786,3,50,38,16.5,0,0
517674.531,5576744.515,"MTC",0,"TC","OP",60,16.906939,1376,2,50,28,13.5,1,0
517674.531,5576244.515,"MTC",0,"SL","SP",2,NA,859,NA,100,1,0.2,1,0
518674.531,5576744.515,"MTC",0,"TC","DE",75,66.000465,443,4,60,138,37.4,3,2
523174.531,5576744.515,"MTC",0,"TC","OP",45,39.8092,304,3,100,103,34.1,1,0
522174.531,5576244.515,"MTC",0,"TC","SP",10,7.31727,723,3,70,28,8.8,1,0
522674.531,5576244.515,"MTC",0,"TM","DE",80,26.90658,1715,3,50,48,15.2,1,0
517174.531,5576244.515,"MTC",0,"TC","OP",45,30.57843,421,3,50,113,26.4,3,1
519174.531,5575744.515,"MTC",0,"HG","DE",6,6.65218,72,4,50.1,103,36.3,3,2
519674.531,5575744.515,"MTC",0,"TC","SP",25,18.747082,276,4,90,83,25.4,3,2
518674.531,5575744.515,"MTC",0,"TC","OP",60,54.922359,420,3,95,103,34.1,3,3
519174.531,5576244.515,"MTC",0,"TC","DE",65,60.000122,415,4,80,153,37.1,3,3
521674.531,5575244.515,"MTC",0,"TM","SP",15,14.22991,882,3,70,38,13.1,2,2
517674.531,5575744.515,"MTC",0,"SL","OP",7,6.2926,603,4,100,31,8.9,1,0
518174.531,5575244.515,"MTC",0,"TC","OP",58,43.79007,515,4,72,153,27.9,3,2
517174.531,5575744.515,"MTC",0,"TC","OP",55,42.095161,377,3,75,123,31.4,3,3
517174.531,5575244.515,"MTC",0,"SL","OP",5,12.70431,1165,3,100,25,11.7,3,3
518174.531,5575744.515,"MTC",0,"TC","OP",60,50.295731,846,3,50,58,22.6,2,1
519674.531,5575244.515,"MTC",0,"SL","SP",NA,NA,NA,NA,NA,NA,NA,1,0
521674.531,5575744.515,"MTC",0,"TC","SP",25,18.089119,235,3,100,163,28.8,3,3
522174.531,5575244.515,"MTC",0,"TC","SP",25,18.989969,254,3,100,103,26.7,3,3
522174.531,5575744.515,"MTC",0,"TC","OP",20,18.99959,236,3,80,143,29,3,3
521174.531,5575744.515,"MTC",0,"TC","OP",50,30.80971,595,4,100,103,23.5,3,3
521174.531,5576244.515,"MTC",0,"TC","OP",30,24.15798,349,3,100,103,24.5,3,3
521174.531,5575244.515,"MTC",0,"TC","OP",35,30.502781,303,3,85,73,30.6,3,1
